Moryella indoligenes
Brevibacterium otitidis
Lactobacillus fornicalis
Lysinimonas kribbensis
Peptoniphilus gorbachii
Corynebacterium mucifaciens
Rhizobacter dauci
Pelomonas aquatica
Desulfovibrio intestinalis
Dialister propionicifaciens
Pedobacter wanjuense
Neisseria flava
Sporosarcina aquimarina
Terrahaemophilus aromaticivorans
Chondromyces robustus
Marinomonas protea
Prevotella massiliensis
Species name
Halomonas phoceae
Pasteurella aerogenes
Peptostreptococcus massiliae
Zobellia laminariae
Acinetobacter antiviralis
Algoriphagus aquatilis
[Eubacterium] yurii
Parastreptomyces abscessus
Negativicoccus succinicivorans
Anaerococcus murdochii
Microbacterium halophilum
Murdochiella asaccharolytica
Geobacter grbiciae
Treponema parvum
Klebsiella granulomatis
Peptoniphilus massiliensis
Mycoplasma muris
