'Species'	'Synonym'	'Status'
'Acinetobacter antiviralis'		'missing'
'Actinobaculum schaalii'	'Actinotignum schaalii'	
'Actinomyces meyeri'	'Schaalia meyeri'	
'Actinomyces odontolyticus'	'Schaalia odontolytica'	
'Actinomyces radingae'	'Schaalia radingae'	
'Actinomyces turicensis'	'Schaalia turicensis'	
'Aerococcus sangunicola'	'Aerococcus sanguinicola'	
'Algoriphagus aquatilis'		'missing'
'Anaerococcus murdochii'		'missing'
'Arthrobacter albus'	'Pseudoglutamicibacter albus'	
'Arthrobacter aurescens'	'Paenarthrobacter aurescens'	
'Arthrobacter cumminsii'	'Pseudoglutamicibacter cumminsii'	
'Bacillus cibi'	'Bacillus indicus'	
'Bacillus weihenstephanensis'	'Bacillus mycoides'	
'Bacteroides coagulans'	'[Bacteroides] coagulans'	
'Bacteroides forsythus'	'Tannerella forsythia'	
'Bifidobacterium logum subsp. infantis'	'Bifidobacterium longum subsp. infantis'	
'Brevibacterium otitidis'		'missing'
'Burkholderia fungorum'	'Paraburkholderia fungorum'	
'Burkholderia phenoliruptix'	'Paraburkholderia phenoliruptrix'	
'Campylobacter fetus subsp. venereali'	'Campylobacter fetus subsp. Venerealis'	
'Chlamydophila abortus'	'Chlamydia abortus'	
'Chlamydophila pneumoniae'	'Chlamydia pneumoniae'	
'Chondromyces robustus'		'missing'
'Citrobacter diversus'	'Citrobacter koseri'	
'Clostridium difficile'	'Clostridioides difficile'	
'Clostridium jejuense'	'Anaerocolumna jejuensis'	
'Clostridium ramosum'	'Erysipelatoclostridium ramosum '	
'Clostridium sordellii'	'Paeniclostridium sordellii  '	
'Clostridium viride'	'[Clostridium] viride '	
'Corynebacterium mucifaciens'		'missing'
'Corynebacterium nigricans'	'Corynebacterium aurimucosum'	
'Desulfovibrio intestinalis'		'missing'
'Dialister propionicifaciens'		'missing'
'Eubacterium eligens'	'[Eubacterium] eligens  '	
'Eubacterium rectale'	'[Eubacterium] rectale'	
'Eubacterium siraeum'	'[Eubacterium] siraeum'	
'Eubacterium yurii'	'[Eubacterium] yurii  '	
'Fusobacterium necrophorus'	'Fusobacterium necrophorum'	
'FusobacteriumÂ mortiferum'	'Fusobacterium mortiferum'	
'Geobacillus thermoglucosidasius'	'Parageobacillus thermoglucosidasius'	
'Geobacter grbiciae'		'missing'
'Haemophilus ducreyi'	'[Haemophilus] ducreyi  '	
'Halomonas phoceae'		'missing'
'Klebsiella granulomatis'		'missing'
'Klebsiella ozaenae'	'Klebsiella pneumoniae subsp. ozaenae'	
'Lactobacillus fornicalis'		'missing'
'Lysinimonas kribbensis'		'missing'
'Marinomonas protea'		'missing'
'MassilibacteroÃ¯des vaginae'	'Massilibacteroides vaginae'	
'Microbacterium halophilum'		'missing'
'Moryella indoligenes'		'missing'
'Murdochiella asaccharolytica'		'missing'
'Mycoplasma muris'		'missing'
'Negativicoccus succinicivorans'		'missing'
'Neisseria flava'		'missing'
'Paraburkholderia caryophylli'	'Trinickia caryophylli'	
'Parastreptomyces abscessus'		'missing'
'Pasteurella aerogenes'		'missing'
'Pasteurella bettii'	'Pasteurella bettyae'	
'Pedobacter wanjuense'		'missing'
'Pelomonas aquatica'		'missing'
'Peptoniphilus gorbachii'		'missing'
'Peptoniphilus massiliensis'		'missing'
'Peptostreptococcus massiliae'		'missing'
'Prevotella massiliensis'		'missing'
'Rhizobacter dauci'		'missing'
'Ruminococcus gnavus'	'[Ruminococcus] gnavus'	
'Ruminococcus torques'	'[Ruminococcus] torques'	
'SAMEA103970041'		
'SAMEA104556995'		
'SAMEA104557126'		
'SAMEA17756668'		
'SAMEA4555320'		
'SAMEA4555798'		
'SAMEA48205918'		
'SAMEA48261418'		
'SAMN00006220'		
'SAMN00116774'		
'SAMN00847639'		
'SAMN03434235'		
'SAMN03436204'		
'SAMN03842476'		
'SAMN03842477'		
'SAMN03854354'		
'SAMN03956214'		
'SAMN03956215'		
'SAMN04108635'		
'SAMN04324901'		
'SAMN04324904'		
'SAMN04477603'		
'SAMN04477635'		
'SAMN04477647'		
'SAMN06887603'		
'Sporosarcina aquimarina'		'missing'
'Terrahaemophilus aromaticivorans'		'missing'
'Treponema parvum'		'missing'
'Turicella otitidis'	'Corynebacterium otitidis'	
'Urinacoccus massiliensis'	'Urinicoccus massiliensis'	
'Zobellia laminariae'		'missing'
